Comment,Designator,Package,LCSC Part,,,,,,,,,,,,,,,,,,,,,,2
2.2k,"R2,R3,R7,R8,R32,R33",R0805,C17520,,,,,,,,,,,,,,,,,,,,,,
0,"R9,R10",R0805,C17477,,,,,,,,,,,,,,,,,,,,,,
,"LED1,LED2",SML0805,C84256,,,,,,,,,,,,,,,,,,,,,,
100,"R1,R4,R5,R6,R31",R0805,C17408,,,,,,,,,,,,,,,,,,,,,,
,"D3,D4",SOD-123,C64898,,,,,,,,,,,,,,,,,,,,,,
100n,"C6,C7",C1206,C24497,,,,,,,,,,,,,,,,,,,,,,
1n,C5,C1206,C35216,,,,,,,,,,,,,,,,,,,,,,
SWS004,S1,SMS-004,C3693,,,,,,,,,,,,,,,,,,,,,,
1u,"C3,C4,C13,C14",C1206,C1848,,,,,,,,,,,,,,,,,,,,,,
