Params,Vals
Particle Name,"VivoTrax"
Particle Manufacturer,"Magnetic Insight"
SPION Lot,""
SPION Mfg. Date,""
SPION Core Size,"999"
SPION Hydrodynamic Diameter,"999"
Concentration,"5.5"
Sample Volume,"0.018"
SPION Coating,""
Notes,"There is a small bubble"
User Name,"Eli Mattingly"
User Location,"Martinos Center, Boston, MA, USA"
Total Acquisition Time (Seconds),"168.9575"
