Freq.	I(Ldrive)
1.52054752973248e+003	4.66662487968266e-003,6.01005877855290e-002
1.52405275379728e+003	4.69900245159316e-003,6.03100765425894e-002
1.52756605823806e+003	4.73166762319921e-003,6.05206993590174e-002
1.53108746168201e+003	4.76462370366142e-003,6.07324657316723e-002
1.53461698279928e+003	4.79787404984352e-003,6.09453852651715e-002
1.53815464030302e+003	4.83142206713959e-003,6.11594676734102e-002
1.54170045294954e+003	4.86527121031705e-003,6.13747227811026e-002
1.54525443953840e+003	4.89942498437961e-003,6.15911605253515e-002
1.54881661891247e+003	4.93388694544558e-003,6.18087909572434e-002
1.55238700995807e+003	4.96866070164396e-003,6.20276242434707e-002
1.55596563160506e+003	5.00374991403055e-003,6.22476706679813e-002
1.55955250282694e+003	5.03915829752198e-003,6.24689406336567e-002
1.56314764264094e+003	5.07488962184819e-003,6.26914446640172e-002
1.56675107010813e+003	5.11094771252607e-003,6.29151934049588e-002
1.57036280433354e+003	5.14733645185246e-003,6.31401976265168e-002
1.57398286446620e+003	5.18405977991777e-003,6.33664682246623e-002
1.57761126969933e+003	5.22112169564106e-003,6.35940162231281e-002
1.58124803927037e+003	5.25852625782577e-003,6.38228527752644e-002
1.58489319246110e+003	5.29627758624013e-003,6.40529891659331e-002
1.58854674859776e+003	5.33437986271646e-003,6.42844368134255e-002
1.59220872705115e+003	5.37283733227771e-003,6.45172072714218e-002
1.59587914723672e+003	5.41165430428426e-003,6.47513122309803e-002
1.59955802861465e+003	5.45083515360774e-003,6.49867635225614e-002
1.60324539069002e+003	5.49038432182830e-003,6.52235731180887e-002
1.60694125301286e+003	5.53030631845788e-003,6.54617531330464e-002
1.61064563517825e+003	5.57060572218969e-003,6.57013158286116e-002
1.61435855682647e+003	5.61128718217496e-003,6.59422736138265e-002
1.61808003764305e+003	5.65235541932587e-003,6.61846390478069e-002
1.62181009735891e+003	5.69381522764865e-003,6.64284248419936e-002
1.62554875575047e+003	5.73567147560279e-003,6.66736438624387e-002
1.62929603263970e+003	5.77792910749353e-003,6.69203091321369e-002
1.63305194789432e+003	5.82059314489053e-003,6.71684338333982e-002
1.63681652142779e+003	5.86366868808104e-003,6.74180313102595e-002
1.64058977319952e+003	5.90716091755236e-003,6.76691150709457e-002
1.64437172321491e+003	5.95107509550958e-003,6.79216987903682e-002
1.64816239152549e+003	5.99541656742385e-003,6.81757963126763e-002
1.65196179822900e+003	6.04019076361711e-003,6.84314216538466e-002
1.65576996346951e+003	6.08540320088127e-003,6.86885890043282e-002
1.65958690743754e+003	6.13105948413305e-003,6.89473127317282e-002
1.66341265037015e+003	6.17716530810713e-003,6.92076073835532e-002
1.66724721255104e+003	6.22372645908505e-003,6.94694876899948e-002
1.67109061431069e+003	6.27074881666503e-003,6.97329685667729e-002
1.67494287602642e+003	6.31823835557135e-003,6.99980651180256e-002
1.67880401812254e+003	6.36620114750327e-003,7.02647926392556e-002
1.68267406107045e+003	6.41464336302755e-003,7.05331666203321e-002
1.68655302538872e+003	6.46357127351333e-003,7.08032027485469e-002
1.69044093164324e+003	6.51299125311139e-003,7.10749169117272e-002
1.69433780044731e+003	6.56290978077844e-003,7.13483252014076e-002
1.69824365246172e+003	6.61333344234777e-003,7.16234439160621e-002
1.70215850839493e+003	6.66426893264961e-003,7.19002895643973e-002
1.70608238900310e+003	6.71572305767671e-003,7.21788788687034e-002
1.71001531509027e+003	6.76770273680494e-003,7.24592287682771e-002
1.71395730750840e+003	6.82021500506098e-003,7.27413564228997e-002
1.71790838715757e+003	6.87326701544667e-003,7.30252792163905e-002
1.72186857498598e+003	6.92686604131526e-003,7.33110147602191e-002
1.72583789199018e+003	6.98101947880566e-003,7.35985808971973e-002
1.72981635921508e+003	7.03573484933155e-003,7.38879957052299e-002
1.73380399775412e+003	7.09101980213259e-003,7.41792775011491e-002
1.73780082874935e+003	7.14688211688360e-003,7.44724448446153e-002
1.74180687339159e+003	7.20332970636661e-003,7.47675165420969e-002
1.74582215292048e+003	7.26037061920805e-003,7.50645116509253e-002
1.74984668862463e+003	7.31801304267904e-003,7.53634494834325e-002
1.75388050184174e+003	7.37626530556609e-003,7.56643496111650e-002
1.75792361395867e+003	7.43513588110901e-003,7.59672318691826e-002
1.76197604641161e+003	7.49463339001052e-003,7.62721163604433e-002
1.76603782068614e+003	7.55476660351904e-003,7.65790234602714e-002
1.77010895831740e+003	7.61554444658675e-003,7.68879738209146e-002
1.77418948089014e+003	7.67697600110575e-003,7.71989883761944e-002
1.77827941003890e+003	7.73907050922119e-003,7.75120883462442e-002
1.78237876744807e+003	7.80183737672983e-003,7.78272952423466e-002
1.78648757485203e+003	7.86528617655900e-003,7.81446308718646e-002
1.79060585403527e+003	7.92942665233340e-003,7.84641173432702e-002
1.79473362683250e+003	7.99426872203208e-003,7.87857770712805e-002
1.79887091512876e+003	8.05982248173417e-003,7.91096327820880e-002
1.80301774085954e+003	8.12609820945997e-003,7.94357075187065e-002
1.80717412601090e+003	8.19310636910905e-003,7.97640246464172e-002
1.81134009261958e+003	8.26085761449612e-003,8.00946078583316e-002
1.81551566277311e+003	8.32936279349147e-003,8.04274811810642e-002
1.81970085860996e+003	8.39863295226467e-003,8.07626689805242e-002
1.82389570231961e+003	8.46867933963722e-003,8.11001959678215e-002
1.82810021614272e+003	8.53951341154703e-003,8.14400872053019e-002
1.83231442237119e+003	8.61114683562733e-003,8.17823681126972e-002
1.83653834334832e+003	8.68359149590294e-003,8.21270644734127e-002
1.84077200146893e+003	8.75685949760946e-003,8.24742024409357e-002
1.84501541917945e+003	8.83096317213683e-003,8.28238085453877e-002
1.84926861897805e+003	8.90591508210121e-003,8.31759097002033e-002
1.85353162341478e+003	8.98172802655072e-003,8.35305332089558e-002
1.85780445509167e+003	9.05841504630663e-003,8.38877067723238e-002
1.86208713666284e+003	9.13598942944679e-003,8.42474584952057e-002
1.86637969083464e+003	9.21446471693186e-003,8.46098168939846e-002
1.87068214036577e+003	9.29385470838407e-003,8.49748109039448e-002
1.87499450806739e+003	9.37417346801516e-003,8.53424698868490e-002
1.87931681680324e+003	9.45543533071937e-003,8.57128236386780e-002
1.88364908948977e+003	9.53765490832271e-003,8.60859023975288e-002
1.88799134909627e+003	9.62084709600572e-003,8.64617368516930e-002
1.89234361864495e+003	9.70502707889889e-003,8.68403581479023e-002
1.89670592121112e+003	9.79021033885508e-003,8.72217978997504e-002
1.90107827992327e+003	9.87641266140832e-003,8.76060881963020e-002
1.90546071796322e+003	9.96365014292209e-003,8.79932616108872e-002
1.90985325856621e+003	1.00519391979339e-002,8.83833512100863e-002
1.91425592502106e+003	1.01412965667025e-002,8.87763905629115e-002
1.91866874067026e+003	1.02317393229640e-002,8.91724137501905e-002
1.92309172891013e+003	1.03232848819008e-002,8.95714553741534e-002
1.92752491319091e+003	1.04159510083370e-002,8.99735505682359e-002
1.93196831701689e+003	1.05097558251596e-002,9.03787350070962e-002
1.93642196394658e+003	1.06047178219762e-002,9.07870449168496e-002
1.94088587759275e+003	1.07008558640185e-002,9.11985170855406e-002
1.94536008162263e+003	1.07981892012981e-002,9.16131888738417e-002
1.94984459975802e+003	1.08967374780194e-002,9.20310982259898e-002
1.95433945577536e+003	1.09965207422627e-002,9.24522836809749e-002
1.95884467350596e+003	1.10975594559458e-002,9.28767843839736e-002
1.96336027683602e+003	1.11998745050696e-002,9.33046400980458e-002
1.96788628970681e+003	1.13034872102604e-002,9.37358912160916e-002
1.97242273611482e+003	1.14084193376190e-002,9.41705787730836e-002
1.97696964011183e+003	1.15146931098811e-002,9.46087444585751e-002
1.98152702580507e+003	1.16223312179088e-002,9.50504306294928e-002
1.98609491735734e+003	1.17313568325155e-002,9.54956803232293e-002
1.99067333898715e+003	1.18417936166399e-002,9.59445372710241e-002
1.99526231496885e+003	1.19536657378802e-002,9.63970459116651e-002
1.99986186963271e+003	1.20669978813988e-002,9.68532514054971e-002
2.00447202736513e+003	1.21818152632139e-002,9.73131996487637e-002
2.00909281260870e+003	1.22981436438858e-002,9.77769372882704e-002
2.01372424986236e+003	1.24160093426170e-002,9.82445117364035e-002
2.01836636368153e+003	1.25354392517751e-002,9.87159711864868e-002
2.02301917867824e+003	1.26564608518566e-002,9.91913646285058e-002
2.02768271952125e+003	1.27791022269081e-002,9.96707418652004e-002
2.03235701093619e+003	1.29033920804136e-002,1.00154153528534e-001
2.03704207770568e+003	1.30293597516713e-002,1.00641651096554e-001
2.04173794466950e+003	1.31570352326768e-002,1.01133286910650e-001
2.04644463672464e+003	1.32864491855246e-002,1.01629114193223e-001
2.05116217882553e+003	1.34176329603521e-002,1.02129187065774e-001
2.05589059598411e+003	1.35506186138430e-002,1.02633560567434e-001
2.06062991326997e+003	1.36854389283083e-002,1.03142290673915e-001
2.06538015581049e+003	1.38221274313699e-002,1.03655434316947e-001
2.07014134879101e+003	1.39607184162638e-002,1.04173049404153e-001
2.07491351745487e+003	1.41012469627881e-002,1.04695194839429e-001
2.07969668710366e+003	1.42437489589187e-002,1.05221930543801e-001
2.08449088309725e+003	1.43882611231138e-002,1.05753317476788e-001
2.08929613085400e+003	1.45348210273401e-002,1.06289417658306e-001
2.09411245585086e+003	1.46834671208346e-002,1.06830294191072e-001
2.09893988362349e+003	1.48342387546446e-002,1.07376011283588e-001
2.10377843976644e+003	1.49871762069615e-002,1.07926634273669e-001
2.10862814993325e+003	1.51423207092814e-002,1.08482229652560e-001
2.11348903983661e+003	1.52997144734294e-002,1.09042865089634e-001
2.11836113524846e+003	1.54594007194736e-002,1.09608609457721e-001
2.12324446200018e+003	1.56214237045606e-002,1.10179532859044e-001
2.12813904598267e+003	1.57858287527149e-002,1.10755706651809e-001
2.13304491314654e+003	1.59526622856320e-002,1.11337203477451e-001
2.13796208950219e+003	1.61219718545053e-002,1.11924097288570e-001
2.14289060112002e+003	1.62938061729288e-002,1.12516463377552e-001
2.14783047413050e+003	1.64682151509090e-002,1.13114378405911e-001
2.15278173472433e+003	1.66452499300417e-002,1.13717920434375e-001
2.15774440915263e+003	1.68249629198860e-002,1.14327168953715e-001
2.16271852372698e+003	1.70074078355880e-002,1.14942204916365e-001
2.16770410481966e+003	1.71926397368061e-002,1.15563110768829e-001
2.17270117886370e+003	1.73807150679806e-002,1.16189970484916e-001
2.17770977235312e+003	1.75716917000099e-002,1.16822869599810e-001
2.18272991184296e+003	1.77656289733814e-002,1.17461895245013e-001
2.18776162394951e+003	1.79625877428202e-002,1.18107136184173e-001
2.19280493535041e+003	1.81626304235120e-002,1.18758682849821e-001
2.19785987278478e+003	1.83658210389707e-002,1.19416627381055e-001
2.20292646305342e+003	1.85722252706052e-002,1.20081063662174e-001
2.20800473301886e+003	1.87819105090662e-002,1.20752087362317e-001
2.21309470960560e+003	1.89949459074397e-002,1.21429795976105e-001
2.21819641980018e+003	1.92114024363620e-002,1.22114288865331e-001
2.22330989065136e+003	1.94313529411379e-002,1.22805667301720e-001
2.22843514927026e+003	1.96548722009430e-002,1.23504034510793e-001
2.23357222283049e+003	1.98820369901978e-002,1.24209495716852e-001
2.23872113856830e+003	2.01129261422018e-002,1.24922158189133e-001
2.24388192378272e+003	2.03476206151276e-002,1.25642131289142e-001
2.24905460583574e+003	2.05862035604688e-002,1.26369526519220e-001
2.25423921215239e+003	2.08287603940416e-002,1.27104457572350e-001
2.25943577022093e+003	2.10753788696652e-002,1.27847040383265e-001
2.26464430759302e+003	2.13261491556173e-002,1.28597393180866e-001
2.26986485188378e+003	2.15811639139901e-002,1.29355636541994e-001
2.27509743077203e+003	2.18405183830745e-002,1.30121893446592e-001
2.28034207200037e+003	2.21043104629033e-002,1.30896289334299e-001
2.28559880337539e+003	2.23726408040856e-002,1.31678952162489e-001
2.29086765276773e+003	2.26456129000810e-002,1.32470012465820e-001
2.29614864811232e+003	2.29233331830628e-002,1.33269603417311e-001
2.30144181740846e+003	2.32059111235305e-002,1.34077860890990e-001
2.30674718872002e+003	2.34934593338347e-002,1.34894923526152e-001
2.31206479017555e+003	2.37860936757907e-002,1.35720932793271e-001
2.31739464996843e+003	2.40839333725664e-002,1.36556033061591e-001
2.32273679635706e+003	2.43871011250291e-002,1.37400371668451e-001
2.32809125766496e+003	2.46957232327609e-002,1.38254098990368e-001
2.33345806228096e+003	2.50099297199537e-002,1.39117368515938e-001
2.33883723865931e+003	2.53298544663979e-002,1.39990336920568e-001
2.34422881531987e+003	2.56556353438138e-002,1.40873164143110e-001
2.34963282084826e+003	2.59874143577572e-002,1.41766013464406e-001
2.35504928389596e+003	2.63253377953652e-002,1.42669051587811e-001
2.36047823318053e+003	2.66695563792126e-002,1.43582448721699e-001
2.36591969748571e+003	2.70202254275715e-002,1.44506378664046e-001
2.37137370566161e+003	2.73775050213560e-002,1.45441018889056e-001
2.37684028662483e+003	2.77415601780922e-002,1.46386550635926e-001
2.38231946935864e+003	2.81125610332311e-002,1.47343158999759e-001
2.38781128291313e+003	2.84906830291609e-002,1.48311033024660e-001
2.39331575640534e+003	2.88761071122842e-002,1.49290365799052e-001
2.39883291901944e+003	2.92690199385582e-002,1.50281354553247e-001
2.40436280000688e+003	2.96696140878929e-002,1.51284200759279e-001
2.40990542868654e+003	3.00780882878534e-002,1.52299110233060e-001
2.41546083444489e+003	3.04946476471175e-002,1.53326293238847e-001
2.42102904673613e+003	3.09195038991552e-002,1.54365964596047e-001
2.42661009508236e+003	3.13528756566642e-002,1.55418343788396e-001
2.43220400907376e+003	3.17949886772624e-002,1.56483655075492e-001
2.43781081836870e+003	3.22460761410253e-002,1.57562127606693e-001
2.44343055269392e+003	3.27063789404480e-002,1.58653995537407e-001
2.44906324184469e+003	3.31761459834685e-002,1.59759498147705e-001
2.45470891568498e+003	3.36556345102018e-002,1.60878879963313e-001
2.46036760414758e+003	3.41451104241001e-002,1.62012390878897e-001
2.46603933723429e+003	3.46448486382590e-002,1.63160286283641e-001
2.47172414501608e+003	3.51551334376628e-002,1.64322827189052e-001
2.47742205763323e+003	3.56762588581869e-002,1.65500280358951e-001
2.48313310529552e+003	3.62085290832321e-002,1.66692918441573e-001
2.48885731828234e+003	3.67522588589026e-002,1.67901020103667e-001
2.49459472694290e+003	3.73077739287115e-002,1.69124870166532e-001
2.50034536169638e+003	3.78754114888333e-002,1.70364759743838e-001
2.50610925303206e+003	3.84555206650059e-002,1.71620986381086e-001
2.51188643150953e+003	3.90484630122116e-002,1.72893854196572e-001
2.51767692775880e+003	3.96546130383822e-002,1.74183674023620e-001
2.52348077248052e+003	4.02743587534010e-002,1.75490763553896e-001
2.52929799644609e+003	4.09081022447718e-002,1.76815447481546e-001
2.53512863049785e+003	4.15562602814096e-002,1.78158057647848e-001
2.54097270554925e+003	4.22192649470682e-002,1.79518933186082e-001
2.54683025258499e+003	4.28975643050489e-002,1.80898420666237e-001
2.55270130266119e+003	4.35916230958998e-002,1.82296874239139e-001
2.55858588690559e+003	4.43019234699222e-002,1.83714655779521e-001
2.56448403651766e+003	4.50289657564304e-002,1.85152135027542e-001
2.57039578276881e+003	4.57732692718007e-002,1.86609689728122e-001
2.57632115700252e+003	4.65353731684933e-002,1.88087705767477e-001
2.58226019063454e+003	4.73158373273384e-002,1.89586577306063e-001
2.58821291515303e+003	4.81152432955392e-002,1.91106706907171e-001
2.59417936211876e+003	4.89341952729774e-002,1.92648505660187e-001
2.60015956316521e+003	4.97733211495688e-002,1.94212393297522e-001
2.60615354999884e+003	5.06332735965950e-002,1.95798798304088e-001
2.61216135439915e+003	5.15147312150946e-002,1.97408158017998e-001
2.61818300821893e+003	5.24183997446085e-002,1.99040918721139e-001
2.62421854338438e+003	5.33450133357567e-002,2.00697535717986e-001
2.63026799189532e+003	5.42953358903452e-002,2.02378473400958e-001
2.63633138582532e+003	5.52701624729502e-002,2.04084205300375e-001
